port,service,description,tcp,udp,other
165,xns-courier,Xerox,True,,
165,xns-courier,Xerox,,True,
166,s-net,Sirius Systems,True,,
166,s-net,Sirius Systems,,True,
167,namp,NAMP,True,,
167,namp,NAMP,,True,
168,rsvd,RSVD,True,,
168,rsvd,RSVD,,True,
169,send,SEND,True,,
169,send,SEND,,True,
170,print-srv,Network PostScript,True,,
170,print-srv,Network PostScript,,True,
171,multiplex,Network Innovations Multiplex,True,,
171,multiplex,Network Innovations Multiplex,,True,
172,cl-1,"Network Innovations CL/1 IANA assigned this well-formed service name as a replacement for ""cl/1"".",True,,
172,cl/1,Network Innovations CL/1,True,,
172,cl-1,"Network Innovations CL/1 IANA assigned this well-formed service name as a replacement for ""cl/1"".",,True,
172,cl/1,Network Innovations CL/1,,True,
173,xyplex-mux,Xyplex,True,,
173,xyplex-mux,Xyplex,,True,
174,mailq,MAILQ,True,,
174,mailq,MAILQ,,True,
175,vmnet,VMNET,True,,
175,vmnet,VMNET,,True,
176,genrad-mux,GENRAD-MUX,True,,
176,genrad-mux,GENRAD-MUX,,True,
177,xdmcp,X Display Manager Control Protocol,True,,
177,xdmcp,X Display Manager Control Protocol,,True,
178,nextstep,NextStep Window Server,True,,
178,nextstep,NextStep Window Server,,True,
179,bgp,Border Gateway Protocol,True,,
179,bgp,Border Gateway Protocol,,True,
179,bgp,BGP,,,sctp
180,ris,Intergraph,True,,
180,ris,Intergraph,,True,
181,unify,Unify,True,,
181,unify,Unify,,True,
182,audit,Unisys Audit SITP,True,,
182,audit,Unisys Audit SITP,,True,
183,ocbinder,OCBinder,True,,
183,ocbinder,OCBinder,,True,
184,ocserver,OCServer,True,,
184,ocserver,OCServer,,True,
185,remote-kis,Remote-KIS,True,,
185,remote-kis,Remote-KIS,,True,
186,kis,KIS Protocol,True,,
186,kis,KIS Protocol,,True,
187,aci,Application Communication Interface,True,,
187,aci,Application Communication Interface,,True,
188,mumps,Plus Five's MUMPS,True,,
188,mumps,Plus Five's MUMPS,,True,
189,qft,Queued File Transport,True,,
189,qft,Queued File Transport,,True,
190,gacp,Gateway Access Control Protocol,True,,
190,gacp,Gateway Access Control Protocol,,True,
191,prospero,Prospero Directory Service,True,,
191,prospero,Prospero Directory Service,,True,
192,osu-nms,OSU Network Monitoring System,True,,
192,osu-nms,OSU Network Monitoring System,,True,
193,srmp,Spider Remote Monitoring Protocol,True,,
193,srmp,Spider Remote Monitoring Protocol,,True,
194,irc,Internet Relay Chat Protocol,True,,
194,irc,Internet Relay Chat Protocol,,True,
195,dn6-nlm-aud,DNSIX Network Level Module Audit,True,,
195,dn6-nlm-aud,DNSIX Network Level Module Audit,,True,
196,dn6-smm-red,DNSIX Session Mgt Module Audit Redir,True,,
196,dn6-smm-red,DNSIX Session Mgt Module Audit Redir,,True,
197,dls,Directory Location Service,True,,
197,dls,Directory Location Service,,True,
198,dls-mon,Directory Location Service Monitor,True,,
198,dls-mon,Directory Location Service Monitor,,True,
199,smux,SMUX,True,,
199,smux,SMUX,,True,
200,src,IBM System Resource Controller,True,,
200,src,IBM System Resource Controller,,True,
201,at-rtmp,AppleTalk Routing Maintenance,True,,
201,at-rtmp,AppleTalk Routing Maintenance,,True,
202,at-nbp,AppleTalk Name Binding,True,,
202,at-nbp,AppleTalk Name Binding,,True,
203,at-3,AppleTalk Unused,True,,
203,at-3,AppleTalk Unused,,True,
204,at-echo,AppleTalk Echo,True,,
204,at-echo,AppleTalk Echo,,True,
205,at-5,AppleTalk Unused,True,,
205,at-5,AppleTalk Unused,,True,
206,at-zis,AppleTalk Zone Information,True,,
206,at-zis,AppleTalk Zone Information,,True,
207,at-7,AppleTalk Unused,True,,
207,at-7,AppleTalk Unused,,True,
208,at-8,AppleTalk Unused,True,,
208,at-8,AppleTalk Unused,,True,
209,qmtp,The Quick Mail Transfer Protocol,True,,
209,qmtp,The Quick Mail Transfer Protocol,,True,
210,z39-50,"ANSI Z39.50 IANA assigned this well-formed service name as a replacement for ""z39.50"".",True,,
210,z39.50,ANSI Z39.50,True,,
210,z39-50,"ANSI Z39.50 IANA assigned this well-formed service name as a replacement for ""z39.50"".",,True,
210,z39.50,ANSI Z39.50,,True,
211,914c-g,"Texas Instruments 914C/G Terminal IANA assigned this well-formed service name as a replacement for ""914c/g"".",True,,
211,914c/g,Texas Instruments 914C/G Terminal,True,,
211,914c-g,"Texas Instruments 914C/G Terminal IANA assigned this well-formed service name as a replacement for ""914c/g"".",,True,
211,914c/g,Texas Instruments 914C/G Terminal,,True,
212,anet,ATEXSSTR,True,,
212,anet,ATEXSSTR,,True,
213,ipx,IPX,True,,
213,ipx,IPX,,True,
214,vmpwscs,VM PWSCS,True,,
214,vmpwscs,VM PWSCS,,True,
215,softpc,Insignia Solutions,True,,
215,softpc,Insignia Solutions,,True,
216,CAIlic,Computer Associates Int'l License Server,True,,
216,CAIlic,Computer Associates Int'l License Server,,True,
217,dbase,dBASE Unix,True,,
217,dbase,dBASE Unix,,True,
218,mpp,Netix Message Posting Protocol,True,,
218,mpp,Netix Message Posting Protocol,,True,
219,uarps,Unisys ARPs,True,,
219,uarps,Unisys ARPs,,True,
220,imap3,Interactive Mail Access Protocol v3,True,,
220,imap3,Interactive Mail Access Protocol v3,,True,
221,fln-spx,Berkeley rlogind with SPX auth,True,,
221,fln-spx,Berkeley rlogind with SPX auth,,True,
222,rsh-spx,Berkeley rshd with SPX auth,True,,
222,rsh-spx,Berkeley rshd with SPX auth,,True,
223,cdc,Certificate Distribution Center,True,,
223,cdc,Certificate Distribution Center,,True,
224,masqdialer,masqdialer,True,,
224,masqdialer,masqdialer,,True,
225-241,,Reserved,,,
242,direct,Direct,True,,
242,direct,Direct,,True,
243,sur-meas,Survey Measurement,True,,
243,sur-meas,Survey Measurement,,True,
244,inbusiness,inbusiness,True,,
244,inbusiness,inbusiness,,True,
245,link,LINK,True,,
245,link,LINK,,True,
246,dsp3270,Display Systems Protocol,True,,
246,dsp3270,Display Systems Protocol,,True,
